title,company,link,keyword
Senior Labor & Employment lawyer India/APAC,ABB,https://in.linkedin.com/jobs/view/senior-labor-employment-lawyer-india-apac-at-abb-4202620644?position=1&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=3CQIjR%2FK8fjj1XeS%2FXpjwQ%3D%3D,LLM
Lead : Company Secretary,Ola Electric,https://in.linkedin.com/jobs/view/lead-company-secretary-at-ola-electric-4190269354?position=2&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=znDrU7erlvzhZzASLX0PGQ%3D%3D,LLM
Software Engineer,GE HealthCare,https://in.linkedin.com/jobs/view/software-engineer-at-ge-healthcare-4160785849?position=3&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=hksglUbAavvNlplfqu2sHQ%3D%3D,LLM
Biology Subject Matter Specialist,Turing,https://in.linkedin.com/jobs/view/biology-subject-matter-specialist-at-turing-4215901860?position=4&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=hPsxOJgKtnZR9B4Qqcjc3w%3D%3D,LLM
Biology Subject Matter Specialist,Turing,https://in.linkedin.com/jobs/view/biology-subject-matter-specialist-at-turing-4215902842?position=5&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=O3T9uxnwpdO3a1moIvAZCQ%3D%3D,LLM
Legal Counsel,Kratos Gamer Network,https://in.linkedin.com/jobs/view/legal-counsel-at-kratos-gamer-network-4218717249?position=6&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=K73U2y8y050bicID0IJ9rw%3D%3D,LLM
Director Data Science,Publicis Sapient,https://in.linkedin.com/jobs/view/director-data-science-at-publicis-sapient-4205699628?position=7&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=%2BTbEsQdlKKd1tEPWxh90UA%3D%3D,LLM
Legal Manager,Vestian Global Workplace Services Pvt. Ltd.,https://in.linkedin.com/jobs/view/legal-manager-at-vestian-global-workplace-services-pvt-ltd-4215824913?position=8&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=LTlh18z%2Bi4dh8%2BnCgYTbvw%3D%3D,LLM
LLM Ops Engineer,Canso,https://in.linkedin.com/jobs/view/llm-ops-engineer-at-canso-4215875743?position=9&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=pFLNfZ0Nsr4BdEXEdGytVQ%3D%3D,LLM
Biology Subject Matter Specialist,Turing,https://in.linkedin.com/jobs/view/biology-subject-matter-specialist-at-turing-4215799994?position=10&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=U5pEWh90QE8hxmzPEJ8Gdg%3D%3D,LLM
