Title,Company,Experience,Location,Description,Posted,Skills,Link
Data Science- Gen AI- LLM,Evalueserve,6-10 Yrs,"Hybrid - Bengaluru, Bangalore Rural",". Bachelors / Masters degree in Computer Science, Mathematics, Statistics, or a related...",5 Days Ago,"Gen Ai, Langchain, LLM, RAG, Data Science, Data, Gen, Artificial Intelligence",https://www.naukri.com/job-listings-data-science-gen-ai-llm-evalueserve-bangalore-rural-bengaluru-6-to-10-years-230425022262
Senior Machine Learning Engineer NLP/LLM,Avalara India,4-8 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Bachelors / Masters degree in computer science with 5+ years of industry experience in ...,Just Now,", python, software development, microsoft azure, debugging, machine learning algorithms, cloud computing, machine learning",https://www.naukri.com/job-listings-senior-machine-learning-engineer-nlp-llm-avalara-india-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-8-years-280425504195
LLM & ML Ops Engineer,Gainwell Technologies,4-9 Yrs,Remote,Collaborate with Data Scientists to streamline model development and experimentation. ....,Today,"Agentic AI, Gen AI, LLMs, Lang Chain, Vector Database, Lang Graph, Python, Gen",https://www.naukri.com/job-listings-llm-ml-ops-engineer-gainwell-technologies-bengaluru-4-to-9-years-280425011806
Senior LLM Engineer,Micro1,2-5 Yrs,Bengaluru,"About Us At micro1, were all about connecting skilled remote professionals with some of...",2 Days Ago,"kubernetes, websocket, python development, software engineering, api, engineering, flask, Senior",https://www.naukri.com/job-listings-senior-llm-engineer-micro1-bengaluru-2-to-5-years-260425504298
LLM ServiceNow API Developer,Nastech Consulting,3-8 Yrs,Remote,"Role & responsibilities Job Responsibilities:Evaluate, train, and enhance foundational ...",Few Hours Ago,"Rest Api Integration, Servicenow, ITSM, Javascript, Servicenow Development, Scripting Languages, API, Rest",https://www.naukri.com/job-listings-llm-servicenow-api-developer-nastech-consulting-bengaluru-3-to-8-years-280425017584
Looking For Senior Data Scientist || GEN AI | LLM | NLP,Birdeye,5-9 Yrs,"Hybrid - Bengaluru, Hyderabad, Gurugram","Integrate models into real-time and batch data systems, optimizing for latency, through...",3 Days Ago,"Generative AI, Nltk, Enterprise AI, Bert, Spacy, Artificial Intelligence, Natural Language Processing, AI Solution",https://www.naukri.com/job-listings-looking-for-senior-data-scientist-gen-ai-llm-nlp-birdeye-hyderabad-gurugram-bengaluru-5-to-9-years-250125010997
AI/ML Developer (LLMs & Prompt Engineering) – Python & AI,Razorthink,3-8 Yrs,"Bengaluru, Mumbai, Delhi / NCR","The ideal candidate should have practical experience working with AI models, fine-tunin...",4 Days Ago,"AI, LLM Development, Python, Azure, LLaMA, GPT, Claude, Pinecone",https://www.naukri.com/job-listings-ai-ml-developer-llms-prompt-engineering-python-ai-razorthink-mumbai-delhi-ncr-bengaluru-3-to-8-years-240425918139
Lead NLP/LLM Engineer,Uplers,5-9 Yrs,Remote,Senior Machine Learning EngineerExperience: 5 - 7 Years Salary: INR 30-40 Lacs per annu...,7 Days Ago,"Pytorch, MLOps, LLM, Sagemaker, Vector Database, LangChain, CI/CD, rag",https://www.naukri.com/job-listings-lead-nlp-llm-engineer-uplers-bengaluru-5-to-9-years-210425006914
LLM Data Scientist Lead,CTL,9-14 Yrs,"Bengaluru, Delhi / NCR",Good communication skills with analytical and problem solving abilitiesShould have led ...,3 Days Ago,"LLM, algorithms, python, lstm, nlp, rnn, software development, neural networks",https://www.naukri.com/job-listings-llm-data-scientist-lead-ave-promagne-business-solutions-bengaluru-delhi-ncr-9-to-14-years-250425924208
Manager/Sr. Manager/AD- Large Language Models (LLMs)- Bangalore,Leading MNC,13-23 Yrs,Hybrid - Bengaluru,"A 15 years full time education is requiredFront-End Development: Proficiency in HTML, C...",3 Days Ago,"AI/ML, LLMs, Artificial Intelligence, Cloud, Large Language Models, Natural Language Processing, Machine Learning, Ml",https://www.naukri.com/job-listings-manager-sr-manager-ad-large-language-models-llms-bangalore-mount-talent-consulting-bengaluru-13-to-23-years-240425927751
Senior Machine Learning Engineer NLP/LLM,Avalara India,4-8 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Bachelors / Masters degree in computer science with 5+ years of industry experience in ...,2 Days Ago,"python, software development, microsoft azure, debugging, machine learning algorithms, cloud computing, machine learning, Microsoft",https://www.naukri.com/job-listings-senior-machine-learning-engineer-nlp-llm-avalara-india-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-8-years-260425504128
